Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
GF,A,1,1,33.24,297.69,297.79,2.47,3.47,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,A,2,1,33.3,285.91,286.01,2.46,3.46,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,A,3,1,32.5,489.83,489.93,2.69,3.69,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,A,4,1,34.31,144.89,144.99,2.16,3.16,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,A,5,1,34.25,150.86,150.96,2.18,3.18,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,A,6,1,34.03,174.93,175.03,2.24,3.24,33.61,232.86,2.37,1,5,No,1000,500,5 NTU
GF,B,1,1,34.12,164.65,164.75,2.22,3.22,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,B,2,1,33.13,320.57,320.67,2.51,3.51,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,B,3,1,33.08,331.54,331.64,2.52,3.52,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,B,4,1,34.28,147.85,147.95,2.17,3.17,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,B,5,1,34.24,151.88,151.98,2.18,3.18,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,B,6,1,33.72,215.52,215.62,2.33,3.33,33.76,209.56,2.32,1,5,No,1000,500,5 NTU
GF,C,1,1,33.74,212.63,212.73,2.33,3.33,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,C,2,1,33.07,333.78,333.88,2.52,3.52,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,C,3,1,33.42,263.73,263.83,2.42,3.42,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,C,4,1,33.99,179.71,179.81,2.25,3.25,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,C,5,1,33.87,194.82,194.92,2.29,3.29,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,C,6,1,34.35,141.04,141.14,2.15,3.15,33.74,212.63,2.33,1,5,No,1000,500,5 NTU
GF,A,1,1,37.54,16.48,16.58,1.22,2.22,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,A,2,1,38.76,7.25,7.35,0.87,1.87,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,A,3,1,38.38,9.36,9.46,0.98,1.98,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,A,4,1,37.01,23.55,23.65,1.37,2.37,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,A,5,1,36.43,34.79,34.89,1.54,2.54,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,A,6,1,39.07,5.89,5.99,0.78,1.78,37.87,13.24,1.12,1,50,No,1000,500,50 NTU
GF,B,1,1,36.43,34.79,34.89,1.54,2.54,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,B,2,1,36.89,25.53,25.63,1.41,2.41,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,B,3,1,36.37,36.22,36.32,1.56,2.56,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,B,4,1,36.44,34.55,34.65,1.54,2.54,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,B,5,1,35.86,51.05,51.15,1.71,2.71,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,B,6,1,36.36,36.47,36.57,1.56,2.56,36.39,35.7,1.55,1,50,No,1000,500,50 NTU
GF,C,1,1,37.35,18.73,18.83,1.27,2.27,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,C,2,1,36.14,42.29,42.39,1.63,2.63,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,C,3,1,37.21,20.58,20.68,1.32,2.32,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,C,4,1,35.75,54.98,55.08,1.74,2.74,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,C,5,1,35.91,49.36,49.46,1.69,2.69,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,C,6,1,35.8,53.16,53.26,1.73,2.73,36.36,36.47,1.56,1,50,No,1000,500,50 NTU
GF,A,1,0,NA,0,0.10,-1.00,0.00,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,A,2,1,38.43,9.06,9.16,0.96,1.96,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,A,3,0,NA,0,0.10,-1.00,0.00,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,A,4,1,38.63,7.91,8.01,0.90,1.90,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,A,5,0,NA,0,0.10,-1.00,0.00,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,A,6,0,NA,0,0.10,-1.00,0.00,38.53,8.47,0.93,0.3333,50,Yes,1000,500,50 NTU - PF
GF,B,1,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,2,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,3,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,4,1,38.88,6.69,6.79,0.83,1.83,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,5,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,B,6,0,NA,0,0.10,-1.00,0.00,38.88,6.69,0.83,0.1667,50,Yes,1000,500,50 NTU - PF
GF,C,1,1,35.88,50.37,50.47,1.70,2.70,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,2,1,34.95,94.19,94.29,1.97,2.97,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,3,1,37.76,14.21,14.31,1.16,2.16,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,4,1,35.12,84,84.10,1.92,2.92,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,5,1,35.15,82.33,82.43,1.92,2.92,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
GF,C,6,1,35.4,69.58,69.68,1.84,2.84,35.71,56.48,1.75,1,50,Yes,1000,500,50 NTU - PF
PC10,A,1,1,38.69,7.6,7.70,0.89,1.89,38.92,6.5,0.81,0.8333,5,No,1000,500,5 NTU
